Agency Type,Distribution Channel,Claim,Duration,Net Sales,Commision (in value),Age
Travel Agency,Online,No,46,80,0,36
Travel Agency,Online,No,29,22,0,30
Travel Agency,Online,No,57,11,0,40
Travel Agency,Online,No,82,80,0,36
Travel Agency,Online,No,13,10,0,36
Travel Agency,Online,No,12,14,0,36
Travel Agency,Online,No,9,13,0,36
Travel Agency,Online,No,6,23,0,33
Travel Agency,Online,No,55,26,0,36
Travel Agency,Online,No,2,20,0,36
Travel Agency,Online,No,26,20,0,24
Travel Agency,Online,No,4,20,0,36
Travel Agency,Online,No,25,46,0,36
Travel Agency,Online,No,49,20,0,29
Airlines,Online,No,4,62,24.8,118
Airlines,Online,No,14,15,6,39
Airlines,Online,No,54,1.98,0.56,48
Airlines,Online,No,40,3.89,1.09,48
Airlines,Online,No,11,7.21,2.02,48
Airlines,Online,No,5,22,7.7,67
Airlines,Online,No,5,22,7.7,53
Airlines,Online,No,6,22,7.7,60
Airlines,Online,No,2,18,6.3,57
Airlines,Online,No,15,30,10.5,57
Airlines,Online,No,90,22,7.7,57
Airlines,Online,No,28,35,12.25,52
Airlines,Online,No,21,22,7.7,40
Airlines,Online,No,130,33,11.55,38
Airlines,Online,No,34,22,7.7,46
Airlines,Online,No,49,67,23.45,49
Airlines,Online,No,33,92,32.2,72
Airlines,Online,No,19,17.55,4.39,31
Airlines,Online,No,4,17.55,4.39,35
Airlines,Online,No,9,17.55,4.39,26
Airlines,Online,No,28,17.55,4.39,33
Airlines,Online,No,18,0,7.47,45
Airlines,Online,No,18,38.35,9.59,34
Airlines,Online,No,55,94,23.5,30
Airlines,Online,No,32,44.85,11.21,27
Airlines,Online,No,13,62.25,15.56,27
Airlines,Online,No,13,81.75,20.44,30
Airlines,Online,No,12,62.25,15.56,29
Airlines,Online,Yes,10,43.55,10.89,45
Airlines,Online,No,10,43.55,10.89,46
Airlines,Online,No,34,109,27.25,27
Airlines,Online,No,388,252.85,63.21,29
Airlines,Online,No,388,260.63,65.16,30
Airlines,Online,No,369,260.63,65.16,47
Airlines,Online,No,368,252.85,63.21,30
Travel Agency,Online,No,114,69.3,41.58,51
Travel Agency,Online,No,20,39.6,23.76,51
Travel Agency,Online,No,40,128.7,77.22,55
Travel Agency,Online,No,3,29.7,17.82,28
Travel Agency,Online,No,85,108.9,65.34,35
Travel Agency,Online,No,5,0,29.7,54
Travel Agency,Online,No,17,118.8,71.28,32
Travel Agency,Online,No,6,29.7,17.82,31
Travel Agency,Online,No,133,0,65.34,31
Travel Agency,Online,No,5,39.6,23.76,31
Travel Agency,Online,No,5,29.7,17.82,44
Travel Agency,Online,No,18,138.6,83.16,51
Travel Agency,Online,No,5,29.7,17.82,29
Travel Agency,Online,No,45,19.8,11.88,33
Travel Agency,Online,No,8,49.5,29.7,31
Travel Agency,Online,No,103,158.4,95.04,29
Travel Agency,Online,No,12,29.7,17.82,31
Travel Agency,Online,No,110,20,0,35
Travel Agency,Online,No,147,64,0,36
Travel Agency,Online,No,32,112,0,36
Travel Agency,Online,No,26,20,0,36
Travel Agency,Online,No,37,112,0,31
Travel Agency,Online,No,32,50,0,25
Travel Agency,Online,No,7,23,0,28
Travel Agency,Online,No,39,38,0,36
Travel Agency,Online,No,27,20,0,36
Travel Agency,Online,No,22,20,0,36
Travel Agency,Online,No,306,31,0,36
Travel Agency,Online,No,11,74,0,36
Travel Agency,Online,No,12,37,0,36
Travel Agency,Online,No,21,52,0,36
Travel Agency,Online,No,56,69,0,36
Travel Agency,Online,No,56,69,0,36
Travel Agency,Online,No,20,20,0,36
Travel Agency,Online,No,41,26,0,36
Travel Agency,Online,No,15,30,0,36
Travel Agency,Online,No,20,46,0,36
Travel Agency,Online,No,9,20,0,36
Travel Agency,Online,No,14,20,0,40
Travel Agency,Online,No,35,56,0,36
Travel Agency,Online,No,2,29,0,36
Travel Agency,Online,No,8,20,0,35
Travel Agency,Online,No,9,0,0,36
Travel Agency,Online,No,8,32,0,36
Travel Agency,Online,No,10,23,0,36
Travel Agency,Online,No,24,71,0,36
Travel Agency,Online,No,4,20,0,36
Travel Agency,Online,No,3,20,0,36
Travel Agency,Online,No,4,37,0,36
Travel Agency,Online,No,3,20,0,25
Travel Agency,Online,No,17,26,0,69
Travel Agency,Online,No,75,31,0,36
Travel Agency,Online,No,9,30,0,36
Travel Agency,Online,No,47,37,0,31
Travel Agency,Online,No,28,39,0,36
Travel Agency,Online,No,83,20,0,39
Travel Agency,Online,No,56,27,0,36
Travel Agency,Online,No,1,24,0,60
Travel Agency,Online,Yes,73,16,0,36
Travel Agency,Online,No,12,10,0,36
Travel Agency,Online,No,15,19,0,36
Travel Agency,Online,No,12,37,0,36
Travel Agency,Online,No,27,70,0,26
Travel Agency,Online,No,24,14,0,36
Travel Agency,Online,No,27,10,0,49
Travel Agency,Online,No,41,10,0,22
Travel Agency,Online,No,41,10,0,23
Travel Agency,Online,No,35,13,0,39
Travel Agency,Online,No,8,42,0,55
Travel Agency,Online,No,34,33,0,36
Travel Agency,Online,No,27,17,0,36
Travel Agency,Online,No,54,39,0,36
Travel Agency,Online,No,11,18,0,36
Travel Agency,Online,No,5,29,0,36
Travel Agency,Online,No,40,24,0,28
Travel Agency,Online,No,29,43,0,36
Travel Agency,Online,No,7,10,0,36
Travel Agency,Online,No,28,30,0,36
Travel Agency,Online,No,57,10,0,32
Travel Agency,Online,No,38,18,0,38
Travel Agency,Online,No,53,59,0,36
Travel Agency,Online,No,40,16,0,45
Travel Agency,Online,No,18,19,0,36
Travel Agency,Online,No,32,33,0,36
Travel Agency,Online,No,13,21,0,53
Travel Agency,Online,No,25,20,0,36
Travel Agency,Online,No,15,32,0,36
Travel Agency,Online,No,11,24,0,36
Travel Agency,Online,No,13,16,0,36
Travel Agency,Online,No,36,11,0,21
Travel Agency,Online,No,26,22,0,54
Travel Agency,Online,No,27,0,0,36
Travel Agency,Online,No,49,18,0,36
Travel Agency,Online,No,33,10,0,36
Travel Agency,Online,No,27,10,0,28
Travel Agency,Online,No,81,45,0,36
Travel Agency,Online,No,27,30,0,20
Travel Agency,Online,No,25,45,0,36
Travel Agency,Online,No,82,14,0,36
Travel Agency,Online,No,70,21,0,36
Travel Agency,Online,No,19,10,0,36
Travel Agency,Online,No,19,10,0,36
Travel Agency,Online,No,14,20,0,36
Travel Agency,Online,No,6,20,0,57
Travel Agency,Online,No,9,20,0,36
Travel Agency,Online,No,52,28,0,36
Travel Agency,Online,No,17,39,0,36
Travel Agency,Online,No,25,27,0,36
Travel Agency,Online,No,5,51,0,36
Travel Agency,Online,No,49,20,0,36
Travel Agency,Online,No,5,20,0,29
Travel Agency,Online,No,17,37,0,36
Airlines,Online,No,16,50,20,118
Airlines,Online,No,75,31,12.4,78
Airlines,Online,No,3,15,6,48
Airlines,Online,No,39,1.48,0.41,48
Airlines,Online,No,53,73.67,20.65,48
Airlines,Online,No,40,7.21,2.02,48
Airlines,Online,No,13,5.09,1.43,48
Airlines,Online,No,4,18,6.3,29
Airlines,Online,No,54,26,9.1,40
Airlines,Online,No,3,18,6.3,33
Airlines,Online,No,5,18,6.3,40
Airlines,Online,No,104,35,12.25,38
Airlines,Online,No,10,22,7.7,42
Airlines,Online,No,24,35,12.25,53
Airlines,Online,No,10,22,7.7,45
Airlines,Online,No,48,50,17.5,53
Airlines,Online,No,6,18,6.3,49
Airlines,Online,No,7,26,9.1,47
Airlines,Online,No,20,26,9.1,45
Airlines,Online,No,6,26,9.1,47
Airlines,Online,No,15,22,7.7,49
Airlines,Online,No,4,18,6.3,55
Airlines,Online,No,48,26,9.1,32
Airlines,Online,No,14,22,7.7,70
Airlines,Online,No,14,33,11.55,34
Airlines,Online,No,42,63,22.05,48
Airlines,Online,No,13,22,7.7,68
Airlines,Online,No,131,125,43.75,31
Airlines,Online,No,36,87,30.45,51
Airlines,Online,No,202,149,52.15,38
Airlines,Online,No,42,92,32.2,53
Airlines,Online,No,11,87,30.45,49
Airlines,Online,No,10,45,15.75,50
Travel Agency,Offline,No,92,29,9.57,72
Travel Agency,Offline,No,92,29,9.57,77
Travel Agency,Offline,No,5,29,9.57,118
Travel Agency,Offline,No,5,29,9.57,118
Travel Agency,Offline,No,5,29,9.57,118
Travel Agency,Offline,No,36,29,9.57,63
Airlines,Online,No,2,7.44,2.6,48
Airlines,Online,No,2,9.48,3.32,48
Airlines,Online,No,10,38.35,9.59,71
Airlines,Online,No,17,38.35,9.59,45
Airlines,Online,No,32,22.1,5.53,28
Airlines,Online,No,32,38.35,9.59,26
Airlines,Online,No,4,17.55,4.39,22
Airlines,Online,No,7,17.25,4.31,60
Airlines,Online,No,179,682,170.5,25
Airlines,Online,No,33,17.25,4.31,30
Airlines,Online,No,5,17.55,4.39,25
Airlines,Online,No,31,38.35,9.59,56
Airlines,Online,No,18,71,17.75,42
Airlines,Online,Yes,11,62.25,15.56,33
Airlines,Online,No,47,70.85,17.71,39
Airlines,Online,No,61,25.9,6.47,37
Airlines,Online,No,5,25.9,6.47,42
Airlines,Online,No,26,119,29.75,48
Airlines,Online,Yes,365,187.85,46.96,32
Airlines,Online,No,374,252.85,63.21,42
Airlines,Online,No,386,252.85,63.21,33
Airlines,Online,No,369,389.35,97.34,42
Travel Agency,Online,No,86,39.6,23.76,43
Travel Agency,Online,No,2,9.9,5.94,67
Travel Agency,Online,No,2,19.8,11.88,30
Travel Agency,Online,No,17,29.7,17.82,52
Travel Agency,Online,No,60,19.8,11.88,31
Travel Agency,Online,No,28,49.5,29.7,31
Travel Agency,Online,No,8,19.8,11.88,69
Travel Agency,Online,No,4,19.8,11.88,31
Travel Agency,Online,No,32,0,89.1,45
Travel Agency,Online,No,26,39.6,23.76,43
Travel Agency,Online,No,100,0,106.92,31
Travel Agency,Online,Yes,105,39.6,23.76,32
Travel Agency,Online,No,244,49.5,29.7,41
Travel Agency,Online,No,34,59.4,35.64,35
Travel Agency,Online,No,56,31,0,32
Travel Agency,Online,No,52,34,0,36
Travel Agency,Online,No,53,20,0,26
Travel Agency,Online,No,39,20,0,36
Travel Agency,Online,No,99,33,0,36
Travel Agency,Online,No,45,25,0,36
Travel Agency,Online,No,9,20,0,51
Travel Agency,Online,No,21,20,0,36
Travel Agency,Online,No,52,34,0,36
Travel Agency,Online,No,52,34,0,36
Travel Agency,Online,No,76,38,0,36
Travel Agency,Online,No,25,70,0,36
Travel Agency,Online,No,46,24,0,36
Travel Agency,Online,No,202,76,0,36
Travel Agency,Online,No,103,56,0,36
Travel Agency,Online,No,11,26,0,36
Travel Agency,Online,No,33,21,0,26
Travel Agency,Online,No,108,20,0,29
Travel Agency,Online,No,19,20,0,50
Travel Agency,Online,No,279,107,0,36
Travel Agency,Online,Yes,9,87,0,36
Travel Agency,Online,No,13,20,0,65
Travel Agency,Online,No,11,20,0,36
Travel Agency,Online,No,8,30,0,36
Travel Agency,Online,No,16,46,0,36
Travel Agency,Online,No,6,26,0,36
Travel Agency,Online,No,10,103,0,36
Travel Agency,Online,No,14,20,0,39
Travel Agency,Online,No,45,0,0,36
Travel Agency,Online,No,277,21,0,36
Travel Agency,Online,No,45,33,0,36
Travel Agency,Online,No,107,20,0,38
Travel Agency,Online,No,10,68,0,36
Travel Agency,Online,No,61,25,0,36
Travel Agency,Online,No,83,28,0,36
Travel Agency,Online,No,61,25,0,36
Travel Agency,Online,No,47,68,0,36
Travel Agency,Online,No,34,62,0,36
Travel Agency,Online,No,25,98,0,38
Travel Agency,Online,No,7,112,0,36
Travel Agency,Online,No,7,20,0,36
Travel Agency,Online,No,18,31,0,36
Travel Agency,Online,No,38,10,0,42
Travel Agency,Online,No,12,21,0,51
Travel Agency,Online,No,6,13,0,28
Travel Agency,Online,No,14,27,0,36
Travel Agency,Online,No,41,12,0,36
Travel Agency,Online,No,56,21,0,36
Travel Agency,Online,No,7,19,0,36
Travel Agency,Online,No,87,80,0,43
Travel Agency,Online,No,22,11,0,45
Travel Agency,Online,No,24,60,0,36
Travel Agency,Online,No,59,16,0,36
Travel Agency,Online,No,12,20,0,45
Travel Agency,Online,No,76,22,0,36
Travel Agency,Online,No,12,15,0,36
Travel Agency,Online,No,45,30,0,36
Travel Agency,Online,No,83,23,0,36
Travel Agency,Online,No,10,45,0,36
Travel Agency,Online,No,28,25,0,36
Travel Agency,Online,No,276,80,0,36
Travel Agency,Online,No,27,46,0,49
Travel Agency,Online,No,28,35,0,36
Travel Agency,Online,No,19,80,0,36
Travel Agency,Online,No,123,26,0,28
Travel Agency,Online,No,11,32,0,36
Travel Agency,Online,No,11,15,0,36
Travel Agency,Online,No,12,10,0,36
Travel Agency,Online,No,4,10,0,36
Travel Agency,Online,No,7,10,0,24
Travel Agency,Online,No,12,33,0,36
Travel Agency,Online,No,54,10,0,22
Travel Agency,Online,No,2,14,0,36
Travel Agency,Online,No,3,49,0,21
Travel Agency,Online,No,47,31,0,36
Travel Agency,Online,No,9,15,0,36
Travel Agency,Online,No,277,80,0,29
Travel Agency,Online,No,15,80,0,36
Travel Agency,Online,No,26,19,0,29
Travel Agency,Online,No,39,27,0,37
Travel Agency,Online,No,40,43,0,36
Travel Agency,Online,No,4,10,0,36
Travel Agency,Online,No,39,80,0,36
Travel Agency,Online,No,5,10,0,36
Travel Agency,Online,No,81,36,0,36
Travel Agency,Online,No,6,16,0,45
Travel Agency,Online,No,8,10,0,53
Travel Agency,Online,No,5,19,0,36
Travel Agency,Online,No,122,13,0,36
Travel Agency,Online,No,31,14,0,36
Travel Agency,Online,No,148,40,0,36
Travel Agency,Online,No,7,10,0,58
Travel Agency,Online,No,123,49,0,36
Travel Agency,Online,No,28,72,0,36
Travel Agency,Online,No,32,55,0,36
Travel Agency,Online,No,64,38,0,36
Travel Agency,Online,No,18,0,0,36
Travel Agency,Online,No,17,40,0,35
Travel Agency,Online,No,33,32,0,36
Travel Agency,Online,No,7,41,0,36
Travel Agency,Online,No,22,30,0,36
Travel Agency,Online,No,17,27,0,36
Travel Agency,Online,No,41,40,0,26
Travel Agency,Online,No,278,62,0,32
Travel Agency,Online,No,9,39,0,61
Travel Agency,Online,No,25,16,0,36
Travel Agency,Online,No,26,30,0,36
Travel Agency,Online,No,18,17,0,36
Travel Agency,Online,No,204,32,0,36
Travel Agency,Online,No,112,23,0,36
Travel Agency,Online,No,3,20,0,36
Travel Agency,Online,No,2,56,0,36
Travel Agency,Online,No,10,20,0,55
Travel Agency,Online,No,7,20,0,36
Travel Agency,Online,No,8,55,0,49
Travel Agency,Online,No,27,20,0,36
Travel Agency,Online,No,54,20,0,36
Travel Agency,Online,No,12,47,0,36
Travel Agency,Online,No,13,20,0,39
Travel Agency,Online,No,31,20,0,45
Airlines,Online,No,10,31,12.4,118
Airlines,Online,No,18,0,28.8,118
Airlines,Online,No,7,62,24.8,118
Airlines,Online,No,12,60,24,118
Airlines,Online,No,15,50,20,118
Travel Agency,Online,No,40,28,10.64,48
Travel Agency,Online,No,38,75,28.5,48
Travel Agency,Online,No,111,95,36.1,48
Airlines,Online,No,4,15,6,52
Airlines,Online,No,5,15,6,38
Airlines,Online,No,3,15,6,39
Airlines,Online,No,15,15,6,45
Airlines,Online,No,78,8.49,2.38,48
Airlines,Online,No,7,30,10.5,35
Airlines,Online,No,97,44,15.4,20
Airlines,Online,No,13,33,11.55,63
Airlines,Online,No,13,30,10.5,60
Airlines,Online,No,8,26,9.1,57
Airlines,Online,No,8,18,6.3,25
Airlines,Online,No,7,22,7.7,35
Airlines,Online,No,10,26,9.1,42
Airlines,Online,No,118,22,7.7,34
Airlines,Online,No,39,26,9.1,68
Airlines,Online,No,12,18,6.3,34
Airlines,Online,No,12,26,9.1,43
Airlines,Online,No,73,26,9.1,41
Airlines,Online,No,22,30,10.5,60
Airlines,Online,No,142,58,20.3,24
Airlines,Online,No,4,36,12.6,47
Airlines,Online,No,18,121,42.35,35
Airlines,Online,No,15,69,24.15,44
Airlines,Online,No,15,69,24.15,41
Airlines,Online,No,351,29.19,10.22,48
Airlines,Online,No,26,23.8,5.95,34
Airlines,Online,No,30,35.25,8.81,27
Airlines,Online,No,100,202,50.5,34
Airlines,Online,No,7,23.4,5.85,30
Airlines,Online,No,26,71,17.75,26
Airlines,Online,No,8,17.55,4.39,29
Airlines,Online,Yes,16,74.25,18.56,27
Airlines,Online,No,12,24.05,6.01,38
Airlines,Online,No,68,24.05,6.01,47
Airlines,Online,No,9,62.25,15.56,27
Airlines,Online,No,23,108,27,29
Airlines,Online,No,26,127,31.75,30
Airlines,Online,No,368,389.35,97.34,50
Travel Agency,Online,No,163,19.8,11.88,29
Travel Agency,Online,No,5,29.7,17.82,54
Travel Agency,Online,No,7,9.9,5.94,43
Travel Agency,Online,No,12,39.6,23.76,38
Travel Agency,Online,No,8,19.8,11.88,52
Travel Agency,Online,No,197,217.8,130.68,45
Travel Agency,Online,No,53,128.7,77.22,43
Travel Agency,Online,No,31,99,59.4,46
Travel Agency,Online,No,13,49.5,29.7,53
Travel Agency,Online,No,95,29.7,17.82,60
Travel Agency,Online,No,8,29.7,17.82,35
Travel Agency,Online,No,125,49.5,29.7,31
Travel Agency,Online,No,8,29.7,17.82,57
Travel Agency,Online,No,5,19.8,11.88,55
Travel Agency,Online,No,9,89.1,53.46,45
Travel Agency,Online,No,26,19.8,11.88,36
Travel Agency,Online,No,51,20,0,54
Travel Agency,Online,No,10,112,0,36
Travel Agency,Online,No,7,50,0,36
Travel Agency,Online,No,42,37,0,36
Travel Agency,Online,No,11,32,0,36
Travel Agency,Online,No,12,36,0,36
Travel Agency,Online,No,16,112,0,36
Travel Agency,Online,No,16,20,0,36
Travel Agency,Online,No,53,20,0,32
Travel Agency,Online,No,73,21,0,36
Travel Agency,Online,No,45,21,0,36
Travel Agency,Online,No,73,22,0,50
Travel Agency,Online,Yes,56,145,0,36
Travel Agency,Online,No,5,74,0,36
Travel Agency,Online,No,18,20,0,36
Travel Agency,Online,No,10,62,0,36
Travel Agency,Online,No,8,25,0,36
Travel Agency,Online,No,17,112,0,58
Travel Agency,Online,No,7,86,0,36
Travel Agency,Online,No,63,75,0,36
Travel Agency,Online,No,13,60,0,36
Travel Agency,Online,No,18,20,0,39
Travel Agency,Online,No,13,35,0,36
Travel Agency,Online,No,24,39,0,36
Travel Agency,Online,No,8,20,0,36
Travel Agency,Online,No,50,75,0,36
Travel Agency,Online,No,9,25,0,65
Travel Agency,Online,No,69,28,0,36
Travel Agency,Online,No,34,94,0,36
Travel Agency,Online,No,35,37,0,36
Travel Agency,Online,No,46,34,0,36
Travel Agency,Online,No,44,34,0,36
Travel Agency,Online,No,6,27,0,22
Travel Agency,Online,No,8,20,0,36
Travel Agency,Online,No,10,0,0,36
Travel Agency,Online,No,44,24,0,37
Travel Agency,Online,No,15,20,0,36
Travel Agency,Online,No,4,20,0,43
Travel Agency,Online,No,22,67,0,36
Travel Agency,Online,No,5,10,0,36
Travel Agency,Online,No,71,62,0,36
Travel Agency,Online,No,20,69,0,36
Travel Agency,Online,No,50,0,0,36
Travel Agency,Online,No,19,24,0,36
Travel Agency,Online,No,7,10,0,36
Travel Agency,Online,No,21,11,0,26
Travel Agency,Online,No,278,71,0,31
